Ticker,Date,Headline,Article,Type
AAPL,11152018,Apple partners with Oscar-winning movie studio A24 for feature films ,Apple Inc  has inked a multi-year deal with A24  the studio behind Oscar-winning projects "Moonlight" and "Amy"  a source familiar with the plans told Reuters  as the iPhone maker pushes deeper into original content and movies.,topStory
AAPL,11152018,REFILE-Apple partners with Oscar-winning movie studio A24 for feature films ,Nov 15 Apple Inc has inked a multi-year deal with A24  the studio behind Oscar-winning projects "Moonlight" and "Amy"  a source familiar with the plans told Reuters  as the iPhone maker pushes deeper into original content and movies.,normal
AAPL,11152018,US STOCKS-Retail gloom  Brexit worries keep Wall Street in check ,* Indexes: Dow down 0.17 pct  S&P up 0.06 pct  Nasdaq up 0.48 pct (Updates to early afternoon),normal
AAPL,11152018,US STOCKS-Wall Street hit by weak earnings  Brexit concerns ,* Indexes down: Dow 0.54 pct  S&P 0.56 pct  Nasdaq 0.33 pct (Updates to open),normal
AAPL,11152018,UPDATE 4-Strong U.S. economy boosts Walmart's third-quarter sales ,NEW YORK  Nov 15 Walmart Inc reported higher-than-expected quarterly U.S. comparable sales on Thursday and raised its full year outlook as a strong economy boosted customer store visits and e-commerce purchases grew as it sold more groceries online.,normal
AAPL,11152018,Apple supplier AMS cuts forecast  indicating poor iPhone demand ,VIENNA Austria's AMS   which makes facial recognition technology  became the latest Apple supplier to cut its revenue forecast  adding to growing evidence that the latest iPhones are not selling well.,normal
AAPL,11152018,UPDATE 3-Apple supplier AMS cuts forecast  indicating poor iPhone demand ,* Joins Apple suppliers feeling pressure (Adds Dialog Semiconductor  analysts  background  updates shares),normal
AAPL,11152018,Apple to employ trafficking survivors in efforts to eradicate slave labor ,LONDON (Thomson Reuters Foundation) - Apple will employ trafficking survivors to work in its retails stores  the technology giant said  after winning an international award for making details of its supply chains public in a bid to help end modern slavery.,normal
AAPL,11152018,UPDATE 1-Apple to employ trafficking survivors in efforts to eradicate slave labour ,LONDON  Nov 15 (Thomson Reuters Foundation) - Apple will employ trafficking survivors to work in its retails stores  the technology giant said  after winning an international award for making details of its supply chains public in a bid to help end modern slavery.,normal
AAPL,11152018,Swiss stocks - Factors to watch on Nov 15 ,ZURICH/BERLIN  Nov 15 The Swiss blue-chip SMI was seen opening 0.1 percent higher at 8 940 points on Thursday  according to premarket indications by bank Julius Baer .,normal
AAPL,11142018,A matter of volume: threat from ascendant Chinese phones hangs over Apple ,SAN FRANCISCO A raft of profit warnings from Apple Inc  suppliers this week has fueled investor concerns that iPhone sales  in terms of volume  have hit a wall that could spell trouble for the company's plans to make services its main pillar of growth. | Video ,topStory
AAPL,11142018,S&P 500 falls for fifth day as financials drag ,NEW YORK Wall Street stocks fell on Wednesday  with the S&P 500 notching a fifth straight day of losses as financial stocks were hit by fears that regulations on the banking industry would tighten once the Democratic Party takes control of the U.S. House of Representatives. | Video ,normal
AAPL,11142018,Prominent managers loaded up on Apple before recent tumble ,NEW YORK Several prominent investors put fresh money to work in Apple  during the third quarter even as they sold out of other high-flying tech companies  betting the iPhone maker's stock would keep rising as strong growth overshadowed rising trade tensions between the United States and China.,normal
AAPL,11142018,Prominent managers loaded up on Apple before recent tumble ,NEW YORK  Nov 14 Several prominent investors put fresh money to work in Apple during the third quarter even as they sold out of other high-flying tech companies  betting the iPhone maker's stock would keep rising as strong growth overshadowed rising trade tensions between the United States and China.,normal
AAPL,11142018,US STOCKS-S&P 500 falls for fifth day as financials drag ,* Financials drop as Maxine Waters says regulations won't ease,normal
AAPL,11142018,US STOCKS-S&P 500 down for fifth day as financials fall ,* Financials drop as Maxine Waters says regulations won't ease,normal
AAPL,11142018,Esplanade's Kravetz bullish on casinos  Apple; sees turbulence for discount stores ,NEW YORK Strong U.S. consumer holiday spending will not boost retailers across the board but instead benefit winners like Apple Inc  that have signature products  Esplanade Capital's Shawn Kravetz said at the Reuters Global Investment 2019 Outlook Summit in New York on Wednesday.,normal
AAPL,11142018,REUTERS SUMMIT-Esplanade's Kravetz bullish on casinos  Apple; sees turbulence for discount stores ,NEW YORK  Nov 14 Strong U.S. consumer holiday spending will not boost retailers across the board but instead benefit winners like Apple Inc that have signature products  Esplanade Capital's Shawn Kravetz said at the Reuters Global Investment 2019 Outlook Summit in New York on Wednesday.,normal
AAPL,11142018,US STOCKS-S&P 500 down for fifth day as Apple  bank stocks fall ,* Financials drop as Maxine Waters says will not ease regulations,normal
AAPL,11142018,Apple wins global award for efforts to eradicate slave labour ,LONDON  Nov 14 (Thomson Reuters Foundation) - Technology giant Apple won an international award on Wednesday for making details of its supply chains public in a bid to boost transparency and help end modern slavery.,normal
AAPL,11132018,Qorvo joins other Apple suppliers in cutting forecast ,Apple supplier Qorvo Inc  cut its third-quarter forecast for profit and revenue on Tuesday  joining a handful of suppliers to the iPhone maker that have warned of an earnings  hit due to lower demand from a major customer.,topStory
AAPL,11132018,US STOCKS-S&P inches higher on trade hope  oil plunge hammers energy stocks ,* Indexes: Dow off 0.06 pct  S&P up 0.30 pct  Nasdaq up 0.61 pct (Updates to early afternoon),normal
AAPL,11132018,US STOCKS-Wall St rises on trade hope  Apple limits tech recovery ,* Indexes: Dow down 0.21 pct  S&P up 0.17 pct  Nasdaq up 0.21 pct (Updates to open),normal
AAPL,11132018,UPDATE 1-Qorvo joins other Apple suppliers in cutting forecast ,Nov 13 Apple supplier Qorvo Inc cut its third-quarter forecast for profit and revenue on Tuesday  joining a handful of suppliers to the iPhone maker that have warned of an earnings  hit due to lower demand from a major customer.,normal
AAPL,11132018,Qorvo joins other Apple suppliers in cutting forecast ,Nov 13 Qorvo Inc  which supplies radio frequency chips to Apple Inc  cut its third-quarter forecast for profit and revenue on Tuesday  a day after at least two other suppliers to the iPhone maker cut their outlook  citing lower demand from a major customer.,normal
AAPL,11132018,US STOCKS-Wall Street set to rebound after technology-led selloff ,* Futures up: Dow 0.16 pct  S&P 0.31 pct  Nasdaq 0.44 pct (Adds comment  details  updates prices),normal
AAPL,11132018,Fears of peak iPhone rattle Asian Apple suppliers ,TAIPEI/SEOUL Shares in Asian suppliers and assemblers for Apple Inc  fell on Tuesday after several component makers warned of weaker than expected results  leading some market watchers to call the peak for iPhones in several key markets. | Video ,normal
AAPL,11132018,US STOCKS-Futures point to rebound after technology-led selloff ,Nov 13 U.S. stock futures rose on Tuesday  as strong earnings from Home Depot Inc and a rebound in technology stocks put Wall Street on track to end a three-day run of losses.,normal
AAPL,11132018,Foxconn posts rise in third-quarter profit  lagging estimates ,TAIPEI Taiwan's Foxconn posted a weaker than expected rise in quarterly profit amid warning signs from key customer Apple Inc and its global suppliers that demand for iPhones could be softening.,normal
AAPL,11122018,Wall Street tumbles  S&P falls as much as 2 percent ,NEW YORK Wall Street's major indexes fell on Monday  with the S&P 500 sliding 2 percent  weighed by technology and financial stocks as shares of Apple Inc  and Goldman Sachs Group Inc  came under pressure.,topStory
AAPL,11122018,Apple  Goldman Sachs send Wall Street tumbling ,NEW YORK Wall Street's major indexes tumbled on Monday as shares of Apple Inc  and Goldman Sachs Group Inc  dragged down the technology and financial sectors. | Video ,normal
AAPL,11122018,US STOCKS-Apple  Goldman Sachs send Wall St tumbling ,* Indexes down: Dow 2.32 pct  S&P 1.97 pct  Nasdaq 2.78 pct (Updates to market close),normal
AAPL,11122018,US STOCKS SNAPSHOT-Apple  Goldman Sachs send Wall St tumbling ,NEW YORK  Nov 12 Wall Street's major indexes tumbled on Monday as shares of Apple Inc and Goldman Sachs Group Inc dragged down the technology and financial sectors.,normal
AAPL,11122018,US STOCKS-Wall St falls; Apple  Goldman Sachs shares under pressure ,* Indexes down: Dow 2 pct  S&P 1.7 pct  Nasdaq 2.4 pct (Updates to late afternoon  changes byline  adds NEW YORK to dateline),normal
AAPL,11122018,Apple shares drop on iPhone suppliers' warnings ,Apple Inc  shares fell to their lowest in more than three months on Monday as three suppliers issued warnings on results that pointed to weakness in iPhone sales.,normal
AAPL,11122018,UPDATE 5-Apple shares drop on iPhone suppliers' warnings ,* 3 analysts point to 18-20 mln iPhone shortfall (Updates share price),normal
AAPL,11122018,US STOCKS-Nasdaq falls 2 pct as Apple  chip stocks hit by weak forecasts ,* Indexes down: Dow 1.90 pct  S&P 1.65 pct  Nasdaq 2.54 pct (Updates to early afternoon),normal
AAPL,11122018,GLOBAL MARKETS-Dollar hits 16-month high; tech woes crunch stocks ,* U.S. stock indexes sink; Apple  tech sector hit on weak views,normal
