date,change,changeOverTime,changePercent,close,high,low,open,unadjustedVolume,volume,vwap
2017-03-23,-10.15,0.5853846660741651,-1.194,839.65,841.69,833.0,841.39,3287669,3287669,837.5182
2017-03-24,-4.51,0.576869112160041,-0.537,835.14,844.0,829.1,842.0,2105682,2105682,836.9387
2017-03-27,3.37,0.5832321757278011,0.404,838.51,841.38,824.3,828.09,1935211,1935211,834.9916
2017-03-28,2.12,0.587235052512267,0.253,840.63,845.4,832.265,839.69,1519202,1519202,839.3425
2017-03-29,9.24,0.604681553214376,1.099,849.87,851.585,841.38,842.75,1457347,1457347,848.052
2017-03-30,-0.39,0.603945174937988,-0.046,849.48,852.0,846.77,851.98,949398,949398,849.7651
2017-03-31,-1.6800000000000002,0.6007730839012411,-0.198,847.8,849.56,845.2445,846.83,1440982,1440982,847.8971
2017-04-03,8.95,0.6176720212696251,1.056,856.75,859.0,847.5298,848.75,1969402,1969402,854.1193
2017-04-04,-4.18,0.609779556666291,-0.488,852.57,853.0,847.505,848.0,1348494,1348494,850.8548
2017-04-05,-3.66,0.602868929764806,-0.429,848.91,860.59,847.52,854.71,1855153,1855153,853.1768
2017-04-06,-3.815,0.595665639702193,-0.449,845.095,853.59,844.0,849.5,1533564,1533564,847.4647
2017-04-07,-2.995,0.5900106321694211,-0.354,842.1,845.88,837.3,845.0,1110404,1110404,841.3785
2017-04-10,-0.4,0.589255372398767,-0.048,841.7,846.7372,840.79,841.54,1046215,1046215,843.2256
2017-04-11,-1.82,0.585818940442291,-0.216,839.88,844.63,834.6,841.7,974343,974343,838.6985
2017-04-12,1.58,0.5888022165363751,0.188,841.46,843.72,837.59,838.46,1135775,1135775,840.3997
2017-04-13,-1.28,0.5863853852702811,-0.152,840.18,843.73,837.8503,841.04,1073650,1073650,841.6554
2017-04-17,14.95,0.614613219198476,1.779,855.13,855.64,841.03,841.38,1049125,1049125,851.6166
2017-04-18,-1.1400000000000001,0.612460728852112,-0.133,853.99,857.39,851.25,852.54,936201,936201,854.2381
2017-04-19,2.52,0.617218865407233,0.295,856.51,860.2,853.5275,857.385,1080336,1080336,857.2716
2017-04-20,3.5700000000000003,0.6239595588603201,0.417,860.08,863.93,857.5,859.74,1188843,1188843,861.2131
2017-04-21,-1.13,0.621825950008222,-0.131,858.95,862.44,857.73,860.62,1172870,1172870,859.723
2017-04-24,19.98,0.6595511755523921,2.326,878.93,879.96,866.11,868.44,1696483,1696483,875.5525
2017-04-25,9.91,0.6782627363703461,1.1280000000000001,888.84,892.25,879.2801,882.26,2038032,2038032,886.933
2017-04-26,0.30000000000000004,0.678829181198336,0.034,889.14,892.99,885.15,891.39,1323297,1323297,889.3084
2017-04-27,2.3,0.6831719248795971,0.259,891.44,893.3774,887.18,890.0,2342303,2342303,890.1533
2017-04-28,33.08,0.7456319079126861,3.711,924.52,935.9,923.22,929.0,3845857,3845857,928.6027
2017-05-01,8.3,0.7613035481537581,0.898,932.82,935.82,920.8,924.15,2327782,2327782,930.6785
2017-05-02,4.27,0.76936594620549,0.458,937.09,942.985,931.0,933.27,1751292,1751292,937.3138
2017-05-03,11.36,0.7908153236920641,1.212,948.45,950.2,935.21,936.05,1824759,1824759,943.4709
2017-05-04,6.27,0.802654020597066,0.661,954.72,959.14,947.37,950.29,1938260,1938260,953.7779
2017-05-05,-4.44,0.7942706371428061,-0.465,950.28,958.4395,948.0986,956.72,1615548,1615548,951.3282
2017-05-08,8.41,0.8101499738208081,0.885,958.69,960.99,947.395,947.45,1876690,1876690,954.8568
2017-05-09,-1.98,0.8064114379560701,-0.20700000000000002,956.71,962.2,954.4,961.33,1687942,1687942,957.9423
2017-05-10,-1.87,0.8028805985282631,-0.195,954.84,956.71,949.84,956.22,1145969,1145969,953.2537
2017-05-11,1.05,0.8048631554262291,0.11,955.89,957.99,948.61,951.29,1031093,1031093,954.0377
2017-05-12,-0.75,0.803447043356253,-0.078,955.14,957.98,952.06,957.85,1214851,1214851,955.2804
2017-05-15,4.08,0.8111506930169241,0.427,959.22,962.7,952.82,955.29,1337697,1337697,959.0812
2017-05-16,5.39,0.821327818426488,0.562,964.61,965.8955,960.35,963.55,1101544,1101544,963.4815
2017-05-17,-22.44,0.778957745292796,-2.326,942.17,960.99,940.06,959.7,2449058,2449058,949.511
